,btc,mstr,pubco,wm,vol_12m,vol_3m,mstr_yoy,pubco_yoy,wm_yoy,vol_3m_yoy
2020-01,9350,,,,,,,,,
2020-02,8560,,,,,,,,,
2020-03,6440,,,,,,,,,
2020-04,8650,,,,,1.0212,,,,
2020-05,9460,,,,,1.0180,,,,
2020-06,9140,,,,,0.5764,,,,
2020-07,11330,,,,,0.4316,,,,
2020-08,11650,38250.0000,56.0000,,,0.4493,,,,
2020-09,10780,38250.0000,63.2500,,,0.5130,,,,
2020-10,13780,38250.0000,70.5000,,,0.5708,,,,
2020-11,19700,40824.0000,77.7500,,,0.7825,,,,
2020-12,28990,70470.0000,85.0000,,,0.2576,,,,
2021-01,33140,71079.0000,97.3333,,0.7082,0.4788,,,,
2021-02,45140,90531.0000,109.6667,,0.7010,0.4482,,,,
2021-03,58790,91579.0000,122.0000,,0.5347,0.3154,,,,
2021-04,57720,91579.0000,134.3333,,0.5554,0.6149,,,,-0.4063
2021-05,37330,92079.0000,146.6667,,0.8143,1.2199,,,,0.2020
2021-06,35040,105085.0000,159.0000,,0.8205,0.7938,,,,0.2173
2021-07,41620,105085.0000,165.8333,,0.8158,1.0618,,,,0.6302
2021-08,47160,108992.0000,172.6667,,0.8111,0.4315,184.9464,208.3333,,-0.0178
2021-09,43790,114042.0000,179.5000,,0.8102,0.4528,198.1490,183.7945,,-0.0602
2021-10,61320,114042.0000,186.3333,,0.8309,0.7117,198.1490,164.3026,,0.1409
2021-11,56930,121044.0000,193.1667,,0.8107,0.8218,196.5021,148.4459,,0.0393
2021-12,46310,124391.0000,200.0000,,0.7895,0.9812,76.5162,135.2941,,0.7236
2022-01,38470,125051.0000,205.8333,,0.8120,0.2461,75.9324,111.4726,,-0.2327
2022-02,43160,125051.0000,211.6667,,0.7559,0.6231,38.1306,93.0091,,0.1748
2022-03,45540,125051.0000,217.5000,,0.7019,0.5500,36.5499,78.2787,,0.2347
2022-04,37630,129218.0000,223.3333,,0.7220,0.5605,41.1000,66.2531,,-0.0544
2022-05,31790,129218.0000,229.1667,,0.5995,0.4684,40.3338,56.2500,,-0.7516
2022-06,19940,129699.0000,235.0000,,0.7522,0.5747,23.4229,47.7987,,-0.2191
2022-07,23290,129699.0000,237.1667,,0.7470,1.0772,23.4229,43.0151,,0.0154
2022-08,20050,129699.0000,239.3333,,0.7278,1.0769,18.9986,38.6100,,0.6455
2022-09,19430,130000.0000,241.5000,,0.7288,0.5328,13.9931,34.5404,,0.0801
2022-10,20490,130000.0000,243.6667,,0.6012,0.3531,13.9931,30.7692,,-0.3586
2022-11,17160,130000.0000,245.8333,,0.6068,0.4039,7.3990,27.2649,,-0.4179
2022-12,16540,132500.0000,248.0000,,0.5980,0.4024,6.5190,24.0000,,-0.5788
2023-01,23140,132500.0000,248.5000,,0.7183,0.9186,5.9568,20.7287,,0.6725
2023-02,23140,132500.0000,249.0000,,0.6997,0.7112,5.9568,17.6378,,0.0881
2023-03,28470,140000.0000,249.5000,,0.7407,0.5869,11.9543,14.7126,,0.0369
2023-04,29230,140000.0000,250.0000,,0.7238,0.3909,8.3440,11.9403,,-0.1696
2023-05,27220,140000.0000,250.5000,,0.7085,0.4896,8.3440,9.3091,,0.0212
2023-06,30470,152800.0000,251.0000,,0.5142,0.3190,17.8112,6.8085,,-0.2557
2023-07,29230,152800.0000,254.5000,,0.5017,0.3423,17.8112,7.3085,,-0.7349
2023-08,25930,152800.0000,258.0000,,0.4914,0.4100,17.8112,7.7994,,-0.6669
2023-09,26970,158400.0000,261.5000,,0.4882,0.2756,21.8462,8.2816,,-0.2572
2023-10,34650,158400.0000,265.0000,,0.5371,0.6436,21.8462,8.7551,,0.2905
2023-11,37720,174530.0000,268.5000,,0.4803,0.3851,34.2538,9.2203,,-0.0188
2023-12,42265,189150.0000,272.0000,,0.4688,0.3066,42.7547,9.6774,,-0.0958
2024-01,42580,190000.0000,283.3333,,0.3782,0.1905,43.3962,14.0174,,-0.7281
2024-02,61140,193000.0000,294.6667,,0.4835,0.6299,45.6604,18.3400,,-0.0813
2024-03,71330,214400.0000,306.0000,937.0000,0.4711,0.6168,53.1429,22.6453,,0.0299
2024-04,60640,214400.0000,317.3333,991.3333,0.5275,0.9143,53.1429,26.9333,,0.5234
2024-05,67490,214400.0000,328.6667,1045.6667,0.5086,0.5916,53.1429,31.2043,,0.1020
2024-06,62680,226331.0000,340.0000,1100.0000,0.5276,0.4757,48.1224,35.4582,,0.1567
2024-07,64620,226500.0000,380.0000,1200.0000,0.5173,0.3147,48.2330,49.3124,,-0.0276
2024-08,58970,226500.0000,420.0000,1300.0000,0.5069,0.2284,48.2330,62.7907,,-0.1815
2024-09,63330,252220.0000,460.0000,1400.0000,0.5059,0.2935,59.2298,75.9082,,0.0178
2024-10,70290,252220.0000,500.0000,1457.6667,0.4691,0.3631,59.2298,88.6792,,-0.2805
2024-11,96450,386700.0000,540.0000,1515.3333,0.5355,0.4607,121.5665,101.1173,,0.0756
2024-12,93430,446400.0000,580.0000,1573.0000,0.5447,0.6079,136.0032,113.2353,,0.3013
2025-01,102400,471107.0000,608.3333,1615.3333,0.5413,0.6116,147.9511,114.7059,,0.4211
2025-02,84400,499096.0000,636.6667,1657.6667,0.5015,0.4951,158.5990,116.0633,,-0.1348
2025-03,82500,528185.0000,665.0000,1700.0000,0.4834,0.4968,146.3549,117.3203,81.4301,-0.1200
2025-04,94200,553555.0000,693.3333,1740.0000,0.4565,0.5648,158.1880,118.4874,75.5212,-0.3496
2025-05,104600,580250.0000,721.6667,1780.0000,0.4561,0.2870,170.6390,119.5740,70.2263,-0.3046
2025-06,107200,597325.0000,750.0000,1820.0000,0.4405,0.1943,163.9166,120.5882,65.4545,-0.2813
2025-07,113800,628791.0000,783.3333,1846.6667,0.4404,0.1392,177.6119,106.1404,53.8889,-0.1755
2025-08,109400,632457.0000,816.6667,1873.3333,0.4253,0.1742,179.2305,94.4444,44.1026,-0.0543
2025-09,114200,640250.0000,850.0000,1900.0000,0.4248,0.1839,153.8458,84.7826,35.7143,-0.1096
2025-10,118500,660000.0000,883.3333,1926.6667,0.4206,0.1591,161.6763,76.6667,32.1747,-0.2040
2025-11,105300,680000.0000,916.6667,1953.3333,0.3271,0.3163,75.8469,69.7531,28.9045,-0.1445
2025-12,110200,700000.0000,950.0000,1980.0000,0.3262,0.3190,56.8100,63.7931,25.8741,-0.2889
2026-01,114600,730000.0000,1011.0000,2000.0000,0.3166,0.3210,54.9542,66.1918,23.8135,-0.2905
2026-02,108800,750000.0000,1072.0000,2020.0000,0.2402,0.1888,50.2717,68.3770,21.8580,-0.3063
2026-03,99500,780000.0000,1133.0000,2040.0000,0.2617,0.2290,47.6755,70.3759,20.0000,-0.2678
2026-04,106400,815061.0000,1194.0000,2040.0000,0.2368,0.2829,47.2412,72.2115,17.2414,-0.2818
